,ISort Time,MSort Time,Key Comp - ISort,Key Comp - MSort
Random,634.5705204725266,0.6578427314758301,2501395218.0,1536258.0
Sorted - Ascending,0.0357128381729126,0.3466282844543457,99999.0,815024.0
Sorted - Descending,1183.0038312673569,0.3884586334228516,4999950000.0,853904.0
