,ISort Time,MSort Time,Key Comp - ISort,Key Comp - MSort
Random,0.05286884307861328,0.003989696502685547,254067.0,8698.0
Sorted - Ascending,0.0009970664978027344,0.0029921531677246094,999.0,4932.0
Sorted - Descending,0.11621594429016113,0.0029876232147216797,499500.0,5044.0
