,ISort Time,MSort Time,Key Comp - ISort,Key Comp - MSort
Random,601.1285212039948,0.660301923751831,2504529489.0,1536284.0
Sorted - Ascending,0.01615595817565918,0.36182498931884766,99999.0,815024.0
Sorted - Descending,1138.8862054347992,0.4792306423187256,4999950000.0,853904.0
